Athropods,General Fish,Freshwater Fish,Marine Fish,Reptiles,Amphibians,Birds,Mammals,Pollen,Federally Listed,Invasive Species,Plants,Marine Fish 2,Marine Fish 3
,Notropis rubellus ,slender madtom,Argyropelecus sladeni ,,,,,,Noturus trautmani ,,conifer,Sebastes paucispinis ,Taboga Goby
,Notropis stramineus ,Slimy sculpin,Ariomma melanum ,,,,,,Odocoileus hemionus cerrosensis ,,Conradina brevifolia ,Sebastes phillipsi ,Green Goby
,Notropis texanus ,Smallmouth bass,Ariomma regulus ,,,,,,Oncorhynchus apache ,,Conradina etonia ,Sebastes pinniger ,Bighead Mora
,Notropis volucellus ,smallmouth buffalo,Ariopsis felis ,,,,,,Oncorhynchus clarki henshawi ,,Conradina glabra ,Sebastes proriger ,Wavyline Grunt
,Noturus flavus ,Spoonhead sculpin,Ariosoma anale ,,,,,,Oncorhynchus clarki seleniris ,,Conradina verticillata ,Sebastes rastrelliger ,Short-rod Anglerfish
,Noturus gyrinus ,spotfin siner,Ariosoma balearicum ,,,,,,Oncorhynchus clarki stomias ,,Cordia bellonis ,Sebastes reedi ,Opossum Pipefish
,Noturus miurus ,Spottail shiner,Ariosoma gilberti ,,,,,,Oncorhynchus gilae ,,Cordylanthus maritimus ,Sebastes rosaceus ,Slender Croaker
,Oncorhynchus gorbuscha ,spotted gar,Ariosoma sp.,,,,,,Oncorhynchus keta ,,Cordylanthus palmatus ,Sebastes rosenblatti ,Whitemouth Croaker
,Oncorhynchus kisutch ,spotted sucker,Aristostomias scintillans ,,,,,,Oregonichthys crameri ,,Cornutia obovata ,Sebastes ruberrimus ,Atlantic Croaker
,Oncorhynchus mykiss ,stoneroller,Arothron hispidus ,,,,,,Oryzomys palustris natator ,,Coryphantha ramillosa ,Sebastes rubrivinctus ,Yellowtail Damselfish
,Oncorhynchus nerka ,stream +,Arothron meleagris ,,,,,,Ovis canadensis californiana ,,cottonwood,Sebastes rufinianus ,Slender Argentine
,Oncorhynchus tshawytscha ,striped bass,Artedius corallinus ,,,,,,Percina antesella ,,Cranichis ricartii ,Sebastes rufus ,Dusky Pencilsmelt
,Opsopoeodus emiliae ,sturgeon,Artedius fenestralis ,,,,,,Percina aurolineata ,,Crotalaria avonensis ,Sebastes saxicola ,Dover Sole
,Osmerus mordax ,Three-spine stickleback,Artedius harringtoni ,,,,,,Percina jenkinsi ,,Cryptantha crassipes ,Sebastes semicinctus ,Striped Tubeshoulder
,Perca flavescens ,Three-spined stickleback,Artedius lateralis ,,,,,,Percina pantherina ,,Ctenitis squamigera ,Sebastes serranoides ,Mosaic Worm Eel
,Percina caprodes ,trout,Artedius notospilotus ,,,,,,Percina rex ,,Cupressus abramsiana ,Sebastes serriceps ,Sharptail Mola
,Percina copelandi ,tubenose goby,Ascelichthys rhodorus ,,,,,,Percina tanasi ,,Cyanea acuminata ,Sebastes simulator ,Ocean Sunfish
,Percina maculata ,Walleye,Asquamiceps pacificus,,,,,,Perognathus longimembris pacificus ,,Cyanea asarifolia ,Sebastes umbrosus ,Fringed Filefish
,Percina phoxocephala ,warmouth,Asquamiceps velaris ,,,,,,Peromyscus gossypinus allapaticola ,,Cyanea copelandii ,Sebastes variegatus ,Slender Filefish
,Percina shumardi ,Western sand darter,Assurger anzac ,,,,,,Phoxinus cumberlandensis ,,Cyanea crispa ,Sebastes wilsoni ,Paddletail Onejaw
,Percopsis omiscomaycus ,Western tubenose goby,Astrapogon puncticulatus ,,,,,,Plagopterus argentissimus ,,Cyanea dolichopoda ,Sebastes zacentrus ,Dark Flounder
,Petromyzon marinus ,White bass,Astrapogon stellatus ,,,,,,Plethodon shenandoah ,,Cyanea dunbariae ,Sebastolobus alascanus ,Pacific Deepwater Flounder
,Pimephales notatus ,white crappie,Astronesthes sp.,,,,,,Poeciliopsis occidentalis ,,Cyanea eleeleensis ,Sebastolobus altivelis ,Deepwater Flounder
,Pimephales promelas ,White perch,Astroscopus guttatus ,,,,,,Pristis pectinata ,,Cyanea glabra ,Sectator ocyurus ,Redface Moray
,Pimephales vigilax ,White sucker,Astroscopus y-graecum ,,,,,,Pseudemys alabamensis ,,Cyanea grimesiana ,Selar crumenophthalmus ,Spaghetti Eel
,Polyodon spathula ,Yellow bass,Astroscopus zephryeus ,,,,,,Ptychocheilus lucius ,,Cyanea hamatiflora ,Selene brevoortii ,Striped Bass
,Pomoxis annularis ,Yellow bullhead,Atheresthes stomias ,,,,,,Puma concolor coryi ,,Cyanea humboldtiana ,Selene brownii ,Striped Mullet
,Pomoxis nigromaculatus ,Yellow perch,Atherinella eriarcha ,,,,,,Puma yagouaroundi cacomitli ,,Cyanea kolekoleensis ,Selene oerstedii ,White Mullet
,Prosopium coulteri ,PETROMYZONTIDAE ,Atherinella nepenthe ,,,,,,Puma yagouaroundi tolteca ,,Cyanea koolauensis ,Selene peruviana ,Mexican Goatfish
,Prosopium cylindraceum ,  Ichthyomyzon castaneus ,Atherinomorus stipes ,,,,,,Pyrgus ruralis lagunae ,,Cyanea kuhihewa ,Selene setapinnis ,Yellow Goatfish
,Pungitius pungitius ,  Ichthyomyzon fossor ,Atherinops affinis ,,,,,,Rana muscosa ,,Cyanea lobata ,Selene vomer ,Red Goatfish
,Pylodictis olivaris ,  Ichthyomyzon unicuspis ,Atractoscion nobilis ,,,,,,Rana sierrae ,,Cyanea longiflora ,Semicossyphus pulcher ,Argus Moray
,Rhinichthys atratulus ,  Lethenteron appendix [Lampetra appendix] ,Aulopus bajacali ,,,,,,Rangifer tarandus caribou ,,Cyanea mannii ,Seriola dumerili ,Hourglass Moray
,Rhinichthys cataractae ,  Petromyzon marinus ,Aulopus nanae ,,,,,,Reithrodontomys raviventris ,,Cyanea mceldowneyi ,Seriola fasciata ,Jewel Moray
,Salmo salar ,ACIPENSERIDAE ,Aulostomus maculatus ,,,,,,Salvelinus confluentus ,,Cyanea pinnatifida ,Seriola lalandi ,Western Comb Grouper
,Salmo trutta ,  Acipenser fulvescens ,Auxis rochei ,,,,,,Sauromalus varius ,,Cyanea platyphylla ,Seriola peruana ,Black Grouper
,Salvelinus fontinalis ,  Scaphirhynchus platorynchus ,Auxis spp. ,,,,,,Scaphirhynchus albus ,,Cyanea procera ,Seriola rivoliana ,Yellowmouth Grouper
,Salvelinus namaycush ,POLYODONTIDAE ,Auxis thazard ,,,,,,Scaphirhynchus suttkusi ,,Cyanea recta ,Seriola zonata ,Gulf Grouper
,Sander canadensis ,  Polyodon spathula ,Avocettina bowersii ,,,,,,Sciurus niger cinereus ,,Cyanea remyi ,Seriphus politus ,Gag
,Sander vitreus ,LEPISOSTEIDAE ,Avocettina infans ,,,,,,Setophaga kirtlandii ,,Cyanea rivularis ,Serraniculus pumilio ,Scamp
,Scaphirhynchus platorynchus ,  Atractosteus spatula ,Axoclinus nigricaudus ,,,,,,Sorex ornatus relictus ,,Cyanea shipmanii ,Serranus psittacinus ,Sawtail Grouper
,Semotilus atromaculatus ,  Lepisosteus oculatus ,Azurina hirundo ,,,,,,Speoplatyrhinus poulsoni ,,Cyanea st.-johnii ,Serranus sp. ,Leopard Grouper
,Semotilus corporalis ,  Lepisosteus osseus ,Bagre marinus ,,,,,,Speyeria callippe callippe ,,Cyanea stictophylla ,Serranus tigrinus ,Tiger Grouper
,Umbra limi ,  Lepisosteus platostomus ,Bairdiella chrysoura ,,,,,,Sphaerodactylus micropithecus ,,Cyanea superba ,Serrivomer beanii ,Broomtail Grouper
,Acipenseridae,AMIIDAE ,Bairdiella icistia ,,,,,,state-listed,,Cyanea truncata ,Serrivomer lanceolatoides ,Metallic Lanternfish
,ACIPENSERIDAE ,  Amia calva ,Bajacalifornia burragei ,,,,,,Sternotherus depressus ,,Cyathea dryopteroides ,Serrivomer sector ,Prickly Lanternfish
,African glass catfish,HIODONTIDAE ,Baldwinella aureorubens ,,,,,,Tamiasciurus hudsonicus grahamensis ,,Cyperus trachysanthos ,Sigmops bathyphilum ,Golden Lanternfish
,African lungfish,  Hiodon alosoides ,Baldwinella vivanus ,,,,,,Terrapene coahuila ,,Cyrtandra crenata ,Sigmops ebelingi [Gonostoma ebelingi] ,Short-jawed Lanternfish
,Agonus agonus,  Hiodon tergisus ,Balistes capriscus ,,,,,,Texamaurops reddelli ,,Cyrtandra cyaneoides ,Sigmops elongatum ,Pearly Lanternfish
,Aholehole,ANGUILLIDAE ,Balistes polylepis ,,,,,,Texella reddelli ,,Cyrtandra dentata ,Snyderidia canina,Bluntsnout Lanternfish
,Airbreathing catfish,  Anguilla rostrata ,Balistes vetula ,,,,,,Thamnophis gigas ,,Cyrtandra giffardii ,Sparisoma atomarium ,Wisner's Lanternfish
,Airsac catfish,CLUPEIDAE ,Bascanichthyini sp.,,,,,,Thamnophis sirtalis tetrataenia ,,Cyrtandra munroi ,Sparisoma radians ,Spiny Lantern Fish
,Alaska blackfish,  Alosa chrysochloris ,Bascanichthys bascanium ,,,,,,threatened,,Cyrtandra oenobarba ,Sparisoma ruripinne ,Longhorn Sculpin
,Albacore,  Alosa pseudoharengus ,Bascanichthys scuticaris ,,,,,,Tiaroga cobitis ,,Cyrtandra paliku ,Species A5,Sharptail eel
,Alewife,  Dorosoma cepedianum ,Bathophilus brevis,,,,,,Trichechus manatus ,,Cyrtandra polyantha ,Species B11,Goldspotted Eel
,Alfonsino,  Dorosoma petenense ,Bathophilus filifer ,,,,,,Trimerotropis infantilis ,,Cyrtandra subumbellata ,Species B5,Blackbar Soldierfish
,Algae eater,CYPRINIDAE ,Bathophilus flemingi ,,,,,,Typhlomolge rathbuni ,,Cyrtandra tintinnabula ,Species C1,Panamic Soldierfish
,Alligator gar,  Campostoma anomalum ,Bathophilus spp.,,,,,,Uma inornata ,,Cyrtandra viridiflora ,Species C2,Broadnose Worm Eel
,Alligatorfish,  Campostoma oligolepis ,Bathyagonus alascanus ,,,,,,Urocyon littoralis ,,Dalea foliosa ,Species D11,Speckled Worm Eel
,Amberjack - Seriola dumerili,  Carassius auratus ,Bathyagonus infraspinatus ,,,,,,Ursus arctos horribilis ,,Daphnopsis hellerana ,Species D4,Pacific Worm Eel
,American eel,  Chrosomus eos ,Bathyagonus nigripinnis ,,,,,,Vulpes macrotis mutica ,,Deeringothamnus pulchellus ,Species D5,Dart Stargazer
,American pickerel,  Chrosomus erythrogaster ,Bathyagonus pentacanthus ,,,,,,Xyrauchen texanus ,,Deeringothamnus rugelii ,Species D7,Dusky Lanternfish
,American sole,  Chrosomus neogaeus ,Bathyanthias mexicanus ,,,,,,shortnose sturgeon,,Deinandra conjugens ,Spectrunculus grandis ,Lanternfish
,AMIIDAE ,  Clinostomus elongatus ,Bathychaunax coloratus,,,,,,Gulf sturgeon,,Delissea rhytidosperma ,Sphoeroides annulatus ,Black Lantern Fish
,Ammodytes ammodytes,  Clinostomus funduloides ,Bathycongrus macrurus ,,,,,,Morelet's tree frog,,Delissea subcordata ,Sphoeroides lobatus ,Pinpoint Lampfish
,Amur pike,  Couesius plumbeus ,Bathycongrus varidens ,,,,,,yellow-shouldered blackbird,,Delphinium bakeri ,Sphoeroides maculatus ,Broadfin Lampfish
,anchovies,  Ctenopharyngodon idella ,Bathygobius curacao ,,,,,,Ozark cavefish,,Delphinium luteum ,Sphoeroides pachygaster ,Bluethroat Argentine
,Anchovy,  Cyprinella spiloptera ,Bathygobius ramosus ,,,,,,California tiger salamander,,Dicerandra christmanii ,Sphoeroides spengleri ,Stout Argentine
,Anemonefish,  Cyprinus carpio ,Bathygobius soporator ,,,,,,St. Croix ground lizard,,Dicerandra cornutissima ,Sphoeroides testudineus ,Blackhead Salmon
,Angelfish,  Hybognathus hankinsoni ,Bathylaco nigricans ,,,,,,Houston toad,,Dicerandra frutescens ,Sphyraena argentea ,Pilotfish
,Angler,  Hybognathus regius ,Bathylagichthys greyae ,,,,,,Culebra Island giant anole,,Dicerandra immaculata ,Sphyraena barracuda ,Sailfin Sculpin
,Angler catfish,  Hybopsis amblops ,Bathylagoides argyrogaster ,,,,,,Lange's metalmark butterfly,,Diplazium molokaiense ,Sphyraena borealis ,Black snake Mackerel
,Anglerfish,  Hypophthalmichthys molitrix  ,Bathylagoides nigrigenys [Bathylagus nigrigenys] ,,,,,,Uncompahgre fritillary butterfly,,Doryopteris angelica ,Sphyraena ensis ,Tadpole Snailfish
,Anguilla anguilla,  Hypophthalmichthys nobilis  ,Bathylagoides wesethi [Bathylagus wesethi] ,,,,,,Hungerford's crawling water beetle,,Dryopteris crinalis ,Sphyraena guachancho ,Roosterfish
,ANGUILLIDAE ,  Luxilus chrysocephalus ,Bathylagus pacificus ,,,,,,ivory-billed woodpecker,,Dubautia herbstobatae ,Sphyraena picudilla ,Boxer Snipe Eel
,Antarctic cod,  Luxilus cornutus ,Bathylychnops brachyrhynchus,,,,,,Mexican wolf,,Dubautia kalalauensis ,Spirinchus starksi ,Pale Snipe Eel
,Antarctic icefish,  Lythrurus umbratilis ,Bathylychnops exilis ,,,,,,red wolf,,Dubautia kenwoodii ,Starksia guadalupae ,Slender Snipe Eel
,Antenna codlet,  Macrhybopsis storeriana ,Bathypterois grallator ,,,,,,great white shark,,Dubautia latifolia ,Starksia spinipenis ,Stripefin Brotula
,anthias,  Margariscus margarita ,Bathypterois viridensis ,,,,,,loggerhead sea turtle,,Dubautia pauciflorula ,Stathmonothus hemphillii ,Toothed Seadevil
,Apeltes quadracus,  Margariscus nachtriebi ,Bathysaurus ferox ,,,,,,Modoc sucker,,Dubautia plantaginea ,Stathmonothus sinuscalifornici ,Sarcastic Fringehead
,Aphia aphia,  Mylopharyngodon piceus ,Bathysaurus mollis ,,,,,,Santa Ana sucker,,Dubautia waialealae ,Stathmonothus stahli tekla ,Yellowfin Fringehead
,APHREDODERIDAE ,  Nocomis biguttatus ,Bathysphaera spp.,,,,,,Warner sucker,,Dudleya nesiotica ,Stegastes adustus ,Onespot Fringehead
,Arapaima,  Nocomis micropogon ,Bathysphyraenops simplex,,,,,,shortnose sucker,,Dudleya stolonifera ,Stegastes diencaeus ,Ridged Eel
,Archerfish,  Notemigonus crysoleucas ,Bathytyphlops marionae ,,,,,,cui-ui,,Dudleya traskiae ,Stegastes leucorus ,American Sackfish
,Arctic char,  Notropis anogenus ,Batrachoides gilberti ,,,,,,June sucker,,Dudleya verityi ,Stegastes leucostictus ,Cape Snaggletooth
,Armored gurnard,  Notropis atherinoides ,Batrachoides manglae ,,,,,,green sea turtle,,Echinacea laevigata ,Stegastes otophorus ,Longjaw Squirrelfish
,Armored searobin,  Notropis blennius ,Batrachoides surinamensis ,,,,,,Salt Creek tiger beetle,,Echinacea tennesseensis ,Stegastes partitus ,Black Germfish
,Armorhead,  Notropis buccatus ,Bellator gymnostethus ,,,,,,Ohlone tiger beetle,,Echinocactus horizonthalonius ,Stegastes rectifraenum ,Duckbill Oceanic Eel
,Armorhead catfish,  Notropis chalybaeus ,Bellator loxias ,,,,,,spotted turtle,,Echinomastus mariposensis ,Steindachneria argentea ,Blackfin Sorcerer
,Armoured catfish,  Notropis dorsalis ,Bellator spp.,,,,,,bog turtle,,Elaphoglossum serpens ,Stellerina xyosterna ,Pygmy Pikeconger
,Arowana,  Notropis heterodon ,Bellator xenisma ,,,,,,White River springfish,,Eragrostis fosbergii ,Stellifer lanceolatus ,Peruvian Grenadier
,Arrowtooth eel,  Notropis heterolepis ,Bembrops anatirostris ,,,,,,Hiko White River springfish,,Erigeron parishii ,Stellifer microps ,Smooth Grenadier
,Asian carps,  Notropis hudsonius ,Bembrops gobioides ,,,,,,Railroad Valley springfish,,Erigeron rhizomatus ,Stemonosudis macrura [Sharpchin Barracudina],California Grenadier
,Asiatic glassfish,  Notropis rubellus ,Benthalbella dentata ,,,,,,American crocodile,,Eriodictyon altissimum ,Stemonosudis rothschildi ,Loosetooth Parrotfish
,ATHERINOPSIDAE ,  Notropis stramineus ,Benthodesmus pacificus ,,,,,,Morelet's crocodile,,Eriodictyon capitatum ,Stenobrachius leucopsarus ,Emerald Parrotfish
,Atka mackerel,  Notropis texanus ,Benthosema fibulatum ,,,,,,New Mexican ridge-nosed rattlesnake,,Eriogonum apricum ,Stenotomus chrysops ,Man-of-war Fish
,Atlantic Bonito ,  Notropis volucellus ,Benthosema panamense ,,,,,,diamond darter,,Eriogonum gypsophilum ,Stephanolepis hispidus ,Topside Lanternfish
,Atlantic cod,  Opsopoeodus emiliae ,Benthosema suborbitale ,,,,,,Mona ground iguana,,Eriogonum pelinophilum ,Stephanolepis setifer ,Lobisomem
,Atlantic herring,  Pimephales notatus ,Bertella idiomorpha,,,,,,blue shiner,,Eryngium cuneifolium ,Stereolepis gigas ,Patchwork Lampfish
,Atlantic salmon,  Pimephales promelas ,Blepsias cirrhosus ,,,,,,beautiful shiner,,Erysimum menziesii ,Sternoptyx diaphana ,Comely Shiner
,Atlantic saury,  Pimephales vigilax ,Bodianus diplotaenia ,,,,,,Leon Springs pupfish,,Erysimum teretifolium ,Sternoptyx obscura,Bridle Shiner
,Atlantic Sharpnose Shark - Rhizoprioltodon terraenovae,  Rhinichthys atratulus ,Bodianus pulchellus ,,,,,,Devils Hole pupfish,,Erythronium propullans ,Sternoptyx pseudobscura ,Margined Madtom
,Atlantic silverside,  Rhinichthys cataractae ,Bodianus rufus ,,,,,,Comanche Springs pupfish,,Escobaria minima ,Sternoptyx spp.,Rockmover Wrasse
,Australasian salmon,  Semotilus atromaculatus ,Bolinichthys longipes ,,,,,,desert pupfish,,Escobaria robbinsorum ,Stictorhinus potamius,Yellowtail Snapper
,Australian grayling,  Semotilus corporalis ,Bollmannia communis ,,,,,,Owens pupfish,,Escobaria sneedii ,Stomias affinis ,Pygmy Poacher
,Australian herring,CATOSTOMIDAE ,Bonapartia pedaliota ,,,,,,Lost River sucker,,Eugenia haematocarpa ,Stomias atriventer ,Undistinguished Sabertooth
,Australian lungfish,  Carpiodes spp.,Borophryne apogon ,,,,,,Central American river turtle,,Eugenia koolauensis ,Stomias boa ,Roughback Batfish
,Australian prowfish,  Carpiodes carpio ,Borostomias panamensis ,,,,,,leatherback sea turtle,,Eugenia woodburyana ,Stomias brevibarbata ,Seadevil
,Ayu,  Carpiodes cyprinus ,Bothragonus swanii ,,,,,,Devils River minnow,,Euphorbia deppeana ,Strongylura exilis ,Key Brotula
,Baikal oilfish,  Carpiodes velifer ,Bothus leopardinus ,,,,,,Stephen's kangaroo rat,,Euphorbia eleanoriae ,Strongylura marina ,Tidepool Sculpin
,Bala shark,  Catostomus catostomus ,Bothus maculiferus ,,,,,,Morro Bay kangaroo rat,,Euphorbia garberi ,Strongylura notata ,Saddleback Sculpin
,Ballan wrasse,  Catostomus commersonii ,Bothus ocellatus ,,,,,,giant kangaroo rat,,Euphorbia haeleeleana ,Strongylura timucu ,Rosy Sculpin
,Bamboo shark,  Cycleptus elongatus ,Bothus robinsi ,,,,,,San Bernardino Merriam's kangaroo rat,,Euphorbia halemanui ,Sudis atrox ,Fluffy Sculpin
,banded darter,  Erimyzon oblongus ,Brama brama ,,,,,,kangaroo rat,,Euphorbia herbstii ,Sudis hyalina ,Longjaw Leatherjacket
,Banded killifish,  Erimyzon sucetta ,Brama caribbea ,,,,,,Stephens's kangaroo rat,,Euphorbia hooveri ,Sufflamen verres ,Shortjaw Leatherjacket
,Bandfish,  Hypentelium nigricans ,Brama dussumieri ,,,,,,eastern indigo snake,,Euphorbia kuwaleana ,Syacium latifrons ,Leatherjack
,Bangus,  Ictiobus spp.,Brama japonica ,,,,,,desert dace,,Euphorbia rockii ,Syacium ovale ,Hammerjaw
,Banjo,  Ictiobus bubalus ,Bregmaceros atlanticus ,,,,,,hawksbill sea turtle,,Euphorbia telephioides ,Syacium papillosum ,Spiny Dreamer
,Banjo catfish,  Ictiobus cyprinellus ,Bregmaceros bathymaster ,,,,,,slender chub,,Eutrema penlandii ,Symbolophorus californiensis ,Bulbous Dreamer
,Bank Sea Bass aka Yellow Sea Bass - Centropristis ocyurus,  Ictiobus niger ,Bregmaceros cantori ,,,,,,slackwater darter,,evergreen,Symbolophorus evermanni ,Margined Snake Eel
,Bank Sea Bass Centropristis ocyurus,  Minytrema melanops ,Bregmaceros houdei ,,,,,,watercress darter,,Exocarpos luteolus ,Symbolophorus rufinus,Dusky Snake Eel
,Barb,  Moxostoma spp.,Bregmaceros n. sp.,,,,,,Okaloosa darter,, fir ,Symphurus atramentatus ,Shrimp Eel
,Barbel,  Moxostoma anisurum ,Brevoortia patronus ,,,,,,boulder darter,,Fitzroya cupressoides ,Symphurus atricaudus ,Blackpored Eel
,Barbeled dragonfish,  Moxostoma atripinne ,Brevoortia smithi ,,,,,,tidewater goby,,Flueggea neowawraea ,Symphurus callopterus ,Spotted Snake Eel
,Barbeled houndshark,  Moxostoma carinatum ,Brevoortia tyrannus ,,,,,,Steller sea lion,,Frankenia johnstonii ,Symphurus chabanaudi ,Palespotted Eel
,Barbel-less catfish,  Moxostoma duquesnei ,Brosmophycis marginata ,,,,,,Florida bonneted bat,,Fremontodendron mexicanum ,Symphurus civitatium ,King Snake Eel
,Barfish,  Moxostoma erythrurum ,Brotula barbata ,,,,,,El Segundo blue butterfly,,Fritillaria gentneri ,Symphurus diomedeanus ,Pacific Snake Eel
,Barracuda,  Moxostoma macrolepidotum ,Brotula clarkae ,,,,,,Smith's blue butterfly,,Galactia smallii ,Symphurus elongatus ,Yellow Snake Eel
,Barracudina,  Moxostoma valenciennesi ,Brotulataenia nielseni,,,,,,Quino checkerspot butterfly,,Galium buxifolium ,Symphurus fasciolaris ,Longnose Cusk-eel
,Barramundi,ICTALURIDAE ,Brotulotaenia spp.,,,,,,Barton Springs salamander,,Gardenia brighamii ,Symphurus gorgonae ,Shorthead Cusk-eel
,Barred danio,  Ameiurus melas ,Bryx dunckeri ,,,,,,blunt-nosed leopard lizard,,Gardenia mannii ,Symphurus leei ,Spotfin Cusk-eel
,Barreleye,  Ameiurus natalis ,Bufoceratias wedli,,,,,,Big Bend gambusia,,Geocarpon minimum ,Symphurus melanurus ,Blotched Cusk-eel
,Basking shark,  Ameiurus nebulosus ,Caelorinchus scaphopsis ,,,,,,Clear Creek gambusia,,Geranium arboreum ,Symphurus melasmototheca ,Crested Cusk-eel
,Bass,  Ictalurus punctatus ,Calamus brachysomus ,,,,,,Pecos gambusia,,Geranium kauaiense ,Symphurus minor ,Striped Cusk-eel
,Basslet,  Noturus flavus ,Callechelyini sp.,,,,,,Mohave tui chub,,Geranium multiflorum ,Symphurus oligomerus ,Letter Opener
,Bat ray,  Noturus gyrinus ,Callechelys bilinearis ,,,,,,Borax Lake chub,,Gesneria pauciflora ,Symphurus piger ,Colonial Cusk-eel
,Batfish,  Noturus miurus ,Callechelys guineensis ,,,,,,humpback chub,,Geum radiatum ,Symphurus plagiusa ,Basketweave Cusk-eel
,Beachsalmon,  Pylodictis olivaris ,Callechelys muraena ,,,,,,Sonara chub,,Goetzea elegans ,Symphurus prolatinaris ,Mooneye Cusk-eel
,Beaked salmon,OSMERIDAE ,Cantherines dumerilii ,,,,,,bonytail chub,,Gouania hillebrandii ,Symphurus pusillus ,Redlip Blenny
,Beaked sandfish,  Osmerus mordax ,Cantherines macrocerus ,,,,,,Gila chub,,Gouania meyenii ,Symphurus tessellatus ,Panamic Fanged Blenny
,Beardfish,SALMONIDAE ,Cantherines pullus ,,,,,,Chihuahua chub,,Gouania vitifolia ,Symphurus williamsi ,Lingcod
,Belone belone,  Coregonus artedii ,Canthidermis maculata [Canthidermis maculatus] ,,,,,,Yaqui chub,,Gratiola amphiantha ,Symphysanodon berryi ,Deepbody Thread Herring
,Beluga sturgeon,  Coregonus clupeaformis ,Canthidermis sufflamen ,,,,,,Virgin River chub,,Grindelia fraxino-pratensis ,Synagrops bellus ,Middling Thread Herring
,Bengal danio,  Coregonus hoyi ,Canthigaster punctatissima ,,,,,,wood turtle,,Gymnoderma lineare ,Synagrops spinosus ,Atlantic Thread Herring
,Betta,  Oncorhynchus gorbuscha ,Canthigaster rostrata ,,,,,,desert tortoise,,Hackelia venusta ,Synagrops trispinosus ,Jawfish
,Bichir,  Oncorhynchus kisutch ,Caralophia loxochila ,,,,,,Bolson tortoise,,Halophila johnsonii ,Synaphobranchus dolichorhynchus,Pitgum Lanternfish
,Bicolor goat fish,  Oncorhynchus mykiss ,Carangoides otrynter [Caranx otrynter] ,,,,,,gopher tortoise,,Haplostachys haplostachya ,Synaphobranchus kaupi ,Gulf Toadfish
,Bigeye,  Oncorhynchus nerka ,Caranx bartholomaei ,,,,,,yellow-blotched map turtle,,Harperocallis flava ,Synaphobranchus sp.,Oyster Toadfish
,Bigeye squaretail,  Oncorhynchus tshawytscha ,Caranx caballus ,,,,,,ringed map turtle,,Harrisia fragrans ,Synchiropus atrilabiatus ,Snubnose Sculpin
,Bighead carp,  Prosopium coulteri ,Caranx caninus ,,,,,,whooping crane,,Harrisia portoricensis ,Synchirus gilli ,Sheephead Grunt
,bigmouth  buffalo,  Prosopium cylindraceum ,Caranx crysos ,,,,,,California condor,,Hedeoma todsenii ,Syngnathus auliscus ,Humpback Grunt
,Bigmouth buffalo,  Salmo salar ,Caranx hippos ,,,,,,Gila monster,,Helenium virginicum ,Syngnathus californiensis ,Pigfish
,Bigscale,  Salmo trutta ,Caranx latus ,,,,,,Rio Grande silvery minnow,,hemlock,Syngnathus euchrous ,Bronzestriped Grunt
,Bigscale pomfret,  Salvelinus fontinalis ,Caranx lugubris ,,,,,,Hawaiian yellow-faced bee,,holly,Syngnathus exilis ,Bigeye Soldierfish
,Billfish,  Salvelinus namaycush ,Caranx melampygus ,,,,,,delta smelt,,Isoetes louisianensis ,Syngnathus floridae ,Spotted Boxfish
,Bitterling,ESOCIDAE ,Caranx ruber ,,,,,,Boisduval's blue butterfly,,Isoetes melanospora ,Syngnathus fuscus ,Panamic Cusk-eel
,Black angelfish,  Esox americanus ,Caranx sexfasciatus ,,,,,,Yaqui catfish,,Isoetes tegetiformans ,Syngnathus insulae ,Polka-dot Cusk-eel
,Black bass,  Esox lucius ,Caranx vinctus ,,,,,,Hawaiian hoary bat,,Juglans cinerea ,Syngnathus leptorhynchus ,Longnose Hawkfish
,black bullhead,  Esox masquinongy ,Carapus bermudensis ,,,,,,Ocelot,,Kadua cookiana ,Syngnathus louisianae ,Senorita
,black crappie,  Esox niger ,Careproctus gilberti ,,,,,,Kemp's ridley sea turtle,,Kadua cordata ,Syngnathus pelagicus ,Painted Greenling
,Black dragonfish,  Umbra limi ,Careproctus longifilis ,,,,,,olive ridley sea turtle,,Kadua coriacea ,Syngnathus scovelli ,Smallwing Flyingfish
,Black mackerel,PERCOPSIDAE ,Careproctus melanurus ,,,,,,White River spinedace,,Kadua degeneri ,Syngnathus springeri ,Smallwing Flyingfish or False Halfbeak
,Black neon tetra,  Percopsis omiscomaycus ,Careproctus microstomus,,,,,,Little Colorado spinedace,,Kadua laxiflora ,Synodus evermanni ,Red porgy
,Black scabbardfish,APHREDODERIDAE ,Careproctus osborni,,,,,,lesser long-nosed bat,,Kadua parvula ,Synodus foetens ,Tubenose Poacher
,Black scalyfin,  Aphredoderus sayanus ,Cataetyx rubrirostris ,,,,,,Mexican long-nosed bat,,Kadua st.-johnii ,Synodus intermedius ,Seaweed Blenny
,Black sea bass,GADIDAE ,Catesbya pseudomuraena ,,,,,,Karner blue butterfly,,larch,Synodus lacertinus ,Pink Blenny
,Black swallower,  Lota lota ,Caulolatilus affinis ,,,,,,alligator snapping turtle,,magnolia,Synodus lucioceps ,Reef Finspot
,Black tetra,ATHERINOPSIDAE ,Caulolatilus hubbsi ,,,,,,Vancouver Island marmot,,Mahonia nevinii ,Synodus poeyi ,Magdalena Blenny
,Black triggerfish,  Labidesthes sicculus ,Caulolatilus princeps ,,,,,,Alameda whipsnake,,maple,Synodus saurus ,Marbled Blenny
